 	2
श्व	3376
श्श	1
श्ह	1
श्ि	1
ष	56721
ष्	14852
ष्ँ	39
ष्ः	1
ष्अ	3
ष्इ	3
ष्उ	3
ष्ऋ	2
ष्ए	1
ष्क	502
ष्ख	1
ष्ग	4
ष्च	2
ष्छ	1
ष्ट	9200
ष्ठ	2346
ष्ड	1
ष्ढ	1
ष्ण	885
ष्त	18
ष्थ	2
ष्द	1
ष्न	3
ष्प	420
ष्फ	25
ष्ब	5
ष्भ	3
ष्म	449
ष्य	875
ष्र	18
ष्ल	9
ष्श	1
ष्ष	1
ष्स	1
ष्ह	1
ष्ा	14
ष्ि	3
ष्ी	1
ष्े	1
ष्ो	1
ष्०	2
ष्१	1
ष्६	2
स	304279
स्	59902
स्ं	3
स्ः	3
स्अ	11
स्आ	13
स्इ	4
स्ई	1
स्उ	11
स्ऊ	1
स्ए	8
स्ऐ	1
स्क	3135
स्ख	32
स्ग	12
स्च	38
स्छ	39
स्ज	34
स्ट	2076
स्ठ	6
स्ड	11
स्त	16475
स्थ	18839
स्द	212
स्ध	3
स्न	2284
स्प	2548
स्फ	198
स्ब	150
स्भ	180
स्म	656
स्य	3790
स्र	2064
स्ल	305
स्व	6136
स्श	4
स्ष	1
स्स	297
स्ह	23
स्ा	1
स्ि	1
स््	1
स्।	283
स्०	1
स्१	5
स्२	1
स्४	1
स्६	2
स्९	2
ह	162996
ह्	1237
ह्ज	1
ह्त	2
ह्द	6
ह्न	72
ह्प	1
ह्ब	1
ह्म	55
ह्य	413
ह्र	439
ह्ल	6
ह्व	234
ह्स	2
ह्ह	1
ह्ी	1
ह्ु	1
ह्ै	1
ह््	1
़	9
ऽ	5
ा	861440
ा्	45
ा्ई	2
ा्ए	5
ा्ग	1
ा्च	11
ा्ट	1
ा्ध	2
ा्न	3
ा्र	11
ा्ष	8
ा्े	1
ि	391255
ि्	97
ि्क	6
ि्ट	4
ि्ठ	1
ि्त	1
ि्य	2
ि्र	80
ि्ल	2
ि्व	1
ी	168413
ी्	12
ी्प	1
ी्भ	6
ी्र	3
ी्व	2
ु	185382
ु्	76
ु्ँ	2
ु्ई	1
ु्क	7
ु्ख	2
ु्ग	3
ु्घ	1
ु्च	1
ु्झ	1
ु्ञ	1
ु्ट	2
ु्त	2
ु्द	1
ु्न	2
ु्प	1
ु्भ	1
ु्य	1
ु्र	44
ु्व	1
ु्स	1
ु्१	1
ू	36626
ू्	10
ू्क	1
ू्ख	1
ू्य	2
ू्र	6
ृ	13350
ॅ	5
ॆ	2
े	312506
े्	82
े्ख	1
े्छ	1
े्ज	1
े्ट	1
े्न	3
े्म	1
े्र	69
े्ल	2
े्व	1
े्श	2
ै	69946
ै्	17
ै्क	1
ै्च	1
ै्य	2
ै्र	11
ै्स	1
ै््	1
ॉ	8
ॊ	2
ो	288904
ो्	9
ो्आ	1
ो्छ	1
ो्त	2
ो्न	1
ो्म	1
ो्र	1
ो्।	2
ौ	16861
्	665796
््	74
््ँ	12
््अ	1
््आ	1
््क	8
््ग	3
््घ	1
््न	3
््प	1
््ब	2
््भ	2
््म	1
््य	14
््र	9
््श	1
््स	3
््ा	4
््ि	2
्््	2
््।	3
््२	1
ॐ	4
ज़	3
ड़	5
फ़	4
।	90847
।्	2
।्अ	1
।्त	1
॥	10
०	16858
१	18422
२	19333
३	8976
३्	1
३्७	1
४	7263
५	9446
६	8097
७	8195
८	5675
८्	1
८्क	1
९	5455
